
=== Experimento: unet_x ===

=== Experimento: unet_x ===
[Amp 0.50][unet_x] Epoch 1 | Train MSE: 0.009092 | Val SSIM: 0.8417 | PSNR h*x: 27.5045 | PSNR h*f(x): 30.2466 | LPIPS h*f(x): 0.1357
[Amp 0.50][unet_x] Epoch 45 | Train MSE: 0.037990 | Val SSIM: 0.3622 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.7887 | LPIPS h*f(x): 0.2262
[Amp 0.50][unet_x] Epoch 46 | Train MSE: 0.033802 | Val SSIM: 0.4719 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.5882 | LPIPS h*f(x): 0.2446
[Amp 0.50][unet_x] Epoch 47 | Train MSE: 0.034924 | Val SSIM: 0.3766 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.7478 | LPIPS h*f(x): 0.2293
[Amp 0.50][unet_x] Epoch 48 | Train MSE: 0.037345 | Val SSIM: 0.3824 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.7564 | LPIPS h*f(x): 0.2252
[Amp 0.50][unet_x] Epoch 49 | Train MSE: 0.037767 | Val SSIM: 0.3709 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.6769 | LPIPS h*f(x): 0.2207
[Amp 0.50][unet_x] Epoch 50 | Train MSE: 0.038794 | Val SSIM: 0.3726 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.7124 | LPIPS h*f(x): 0.2185

=== Experimento: unet_x_high_freq ===

=== Experimento: unet_x_high_freq ===
[Amp 0.50][unet_x_high_freq] Epoch 1 | Train MSE: 0.014184 | Val SSIM: 0.7403 | PSNR h*x: 20.6337 | PSNR h*f(x): 20.8651 | LPIPS h*f(x): 0.3914
[Amp 0.50][unet_x_high_freq] Epoch 2 | Train MSE: 0.012661 | Val SSIM: 0.6256 | PSNR h*x: 20.6337 | PSNR h*f(x): 22.5653 | LPIPS h*f(x): 0.2951
[Amp 0.50][unet_x_high_freq] Epoch 3 | Train MSE: 0.020618 | Val SSIM: 0.5134 | PSNR h*x: 20.6337 | PSNR h*f(x): 22.9895 | LPIPS h*f(x): 0.2594
[Amp 0.50][unet_x_high_freq] Epoch 4 | Train MSE: 0.026006 | Val SSIM: 0.4383 | PSNR h*x: 20.6337 | PSNR h*f(x): 23.6953 | LPIPS h*f(x): 0.2320
[Amp 0.50][unet_x_high_freq] Epoch 5 | Train MSE: 0.030437 | Val SSIM: 0.4101 | PSNR h*x: 20.6337 | PSNR h*f(x): 23.9660 | LPIPS h*f(x): 0.2304
[Amp 0.50][unet_x_high_freq] Epoch 6 | Train MSE: 0.033289 | Val SSIM: 0.3845 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.1452 | LPIPS h*f(x): 0.2224
[Amp 0.50][unet_x_high_freq] Epoch 7 | Train MSE: 0.035600 | Val SSIM: 0.3753 | PSNR h*x: 20.6337 | PSNR h*f(x): 23.7453 | LPIPS h*f(x): 0.2208
[Amp 0.50][unet_x_high_freq] Epoch 8 | Train MSE: 0.036755 | Val SSIM: 0.3478 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.1186 | LPIPS h*f(x): 0.2151
[Amp 0.50][unet_x_high_freq] Epoch 9 | Train MSE: 0.038639 | Val SSIM: 0.3338 | PSNR h*x: 20.6337 | PSNR h*f(x): 23.4732 | LPIPS h*f(x): 0.2095
[Amp 0.50][unet_x_high_freq] Epoch 10 | Train MSE: 0.039234 | Val SSIM: 0.3298 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.2431 | LPIPS h*f(x): 0.2126
[Amp 0.50][unet_x_high_freq] Epoch 11 | Train MSE: 0.040367 | Val SSIM: 0.3208 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.2372 | LPIPS h*f(x): 0.2123
[Amp 0.50][unet_x_high_freq] Epoch 12 | Train MSE: 0.040949 | Val SSIM: 0.3174 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.1719 | LPIPS h*f(x): 0.2084
[Amp 0.50][unet_x_high_freq] Epoch 13 | Train MSE: 0.042025 | Val SSIM: 0.3159 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.3147 | LPIPS h*f(x): 0.2115
[Amp 0.50][unet_x_high_freq] Epoch 14 | Train MSE: 0.042599 | Val SSIM: 0.2971 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.0500 | LPIPS h*f(x): 0.2074
[Amp 0.50][unet_x_high_freq] Epoch 15 | Train MSE: 0.043133 | Val SSIM: 0.2963 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.2255 | LPIPS h*f(x): 0.2075
[Amp 0.50][unet_x_high_freq] Epoch 16 | Train MSE: 0.043485 | Val SSIM: 0.3119 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.2956 | LPIPS h*f(x): 0.2101
[Amp 0.50][unet_x_high_freq] Epoch 17 | Train MSE: 0.044077 | Val SSIM: 0.2930 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.1499 | LPIPS h*f(x): 0.2050
[Amp 0.50][unet_x_high_freq] Epoch 18 | Train MSE: 0.044701 | Val SSIM: 0.2843 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.1856 | LPIPS h*f(x): 0.2073
[Amp 0.50][unet_x_high_freq] Epoch 19 | Train MSE: 0.045307 | Val SSIM: 0.2808 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.2260 | LPIPS h*f(x): 0.2050
[Amp 0.50][unet_x_high_freq] Epoch 20 | Train MSE: 0.045718 | Val SSIM: 0.2868 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.2328 | LPIPS h*f(x): 0.2046
[Amp 0.50][unet_x_high_freq] Epoch 21 | Train MSE: 0.045764 | Val SSIM: 0.2825 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.3183 | LPIPS h*f(x): 0.2064
[Amp 0.50][unet_x_high_freq] Epoch 22 | Train MSE: 0.046647 | Val SSIM: 0.2725 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.2122 | LPIPS h*f(x): 0.2078
[Amp 0.50][unet_x_high_freq] Epoch 23 | Train MSE: 0.046738 | Val SSIM: 0.2770 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.3153 | LPIPS h*f(x): 0.2042
[Amp 0.50][unet_x_high_freq] Epoch 24 | Train MSE: 0.047310 | Val SSIM: 0.2645 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.0912 | LPIPS h*f(x): 0.2030
[Amp 0.50][unet_x_high_freq] Epoch 25 | Train MSE: 0.047915 | Val SSIM: 0.2730 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.3120 | LPIPS h*f(x): 0.2032
[Amp 0.50][unet_x_high_freq] Epoch 26 | Train MSE: 0.048296 | Val SSIM: 0.2682 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.3104 | LPIPS h*f(x): 0.2040
[Amp 0.50][unet_x_high_freq] Epoch 27 | Train MSE: 0.048276 | Val SSIM: 0.2606 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.2088 | LPIPS h*f(x): 0.2035
[Amp 0.50][unet_x_high_freq] Epoch 28 | Train MSE: 0.048606 | Val SSIM: 0.2656 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.3183 | LPIPS h*f(x): 0.2034
[Amp 0.50][unet_x_high_freq] Epoch 29 | Train MSE: 0.048618 | Val SSIM: 0.2612 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.2612 | LPIPS h*f(x): 0.2029
[Amp 0.50][unet_x_high_freq] Epoch 30 | Train MSE: 0.049258 | Val SSIM: 0.2605 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.3086 | LPIPS h*f(x): 0.2019
[Amp 0.50][unet_x_high_freq] Epoch 31 | Train MSE: 0.049801 | Val SSIM: 0.2596 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.2608 | LPIPS h*f(x): 0.2029
[Amp 0.50][unet_x_high_freq] Epoch 32 | Train MSE: 0.049967 | Val SSIM: 0.2546 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.2654 | LPIPS h*f(x): 0.2011
[Amp 0.50][unet_x_high_freq] Epoch 33 | Train MSE: 0.048895 | Val SSIM: 0.2578 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.2613 | LPIPS h*f(x): 0.2017
[Amp 0.50][unet_x_high_freq] Epoch 34 | Train MSE: 0.050142 | Val SSIM: 0.2590 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.2727 | LPIPS h*f(x): 0.1994
[Amp 0.50][unet_x_high_freq] Epoch 35 | Train MSE: 0.050558 | Val SSIM: 0.2532 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.2127 | LPIPS h*f(x): 0.1989
[Amp 0.50][unet_x_high_freq] Epoch 36 | Train MSE: 0.050721 | Val SSIM: 0.2625 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.4062 | LPIPS h*f(x): 0.2035
[Amp 0.50][unet_x_high_freq] Epoch 37 | Train MSE: 0.051004 | Val SSIM: 0.2488 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.2207 | LPIPS h*f(x): 0.1993
[Amp 0.50][unet_x_high_freq] Epoch 38 | Train MSE: 0.051429 | Val SSIM: 0.2531 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.3759 | LPIPS h*f(x): 0.2024
[Amp 0.50][unet_x_high_freq] Epoch 39 | Train MSE: 0.051463 | Val SSIM: 0.2519 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.3627 | LPIPS h*f(x): 0.2039
[Amp 0.50][unet_x_high_freq] Epoch 40 | Train MSE: 0.051722 | Val SSIM: 0.2442 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.2178 | LPIPS h*f(x): 0.1999
[Amp 0.50][unet_x_high_freq] Epoch 41 | Train MSE: 0.052073 | Val SSIM: 0.2541 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.0119 | LPIPS h*f(x): 0.2037
[Amp 0.50][unet_x_high_freq] Epoch 42 | Train MSE: 0.050778 | Val SSIM: 0.2555 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.3523 | LPIPS h*f(x): 0.2039
[Amp 0.50][unet_x_high_freq] Epoch 43 | Train MSE: 0.051960 | Val SSIM: 0.2501 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.2620 | LPIPS h*f(x): 0.1998
[Amp 0.50][unet_x_high_freq] Epoch 44 | Train MSE: 0.052311 | Val SSIM: 0.2456 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.2787 | LPIPS h*f(x): 0.1994
[Amp 0.50][unet_x_high_freq] Epoch 45 | Train MSE: 0.052489 | Val SSIM: 0.2482 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.2646 | LPIPS h*f(x): 0.1990
[Amp 0.50][unet_x_high_freq] Epoch 46 | Train MSE: 0.052668 | Val SSIM: 0.2468 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.1236 | LPIPS h*f(x): 0.1996
[Amp 0.50][unet_x_high_freq] Epoch 47 | Train MSE: 0.052912 | Val SSIM: 0.2423 | PSNR h*x: 20.6337 | PSNR h*f(x): 23.9383 | LPIPS h*f(x): 0.2025
[Amp 0.50][unet_x_high_freq] Epoch 48 | Train MSE: 0.052585 | Val SSIM: 0.2483 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.3353 | LPIPS h*f(x): 0.2001
[Amp 0.50][unet_x_high_freq] Epoch 49 | Train MSE: 0.053211 | Val SSIM: 0.2443 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.2618 | LPIPS h*f(x): 0.2005
[Amp 0.50][unet_x_high_freq] Epoch 50 | Train MSE: 0.053006 | Val SSIM: 0.2374 | PSNR h*x: 20.6337 | PSNR h*f(x): 24.1442 | LPIPS h*f(x): 0.1982
